count,software,version
1,pleroma,Pleroma 0.9.0 6b6a63e78a4be703b36281f052f15e34bdfbd99f
1,pleroma,2.4.55-0-g20790c1-develop
1,pleroma,2.4.53-924-g68f34b2f-develop
1,pleroma,2.4.53-920-g8c377339-refusaldevelop
1,pleroma,2.4.53-918-g79158728-securomoe-http-signature-statistics
1,pleroma,2.4.53-917-g410209e6-develop
1,pleroma,2.4.53-915-g9e57735f-develop
1,pleroma,2.4.53-914-g3b289a16-develop
1,pleroma,2.4.53-912-g7f0b3161
1,pleroma,2.4.53-9048-g0f77643d-shitposterclub
1,pleroma,2.4.53-901-g5a398663-meilisearch
1,pleroma,2.4.53-899-g0e1356ef
1,pleroma,2.4.53-894-ga2db64b1-develop
1,pleroma,2.4.53-893-gf5f7184b-develop
1,pleroma,2.4.53-883-g1b0e47b7-develop
1,pleroma,2.4.53-880-gf0644cbb-finch-everywhere-promex-unboundedfix
1,pleroma,2.4.53-877-g7c8618dc-develop
1,pleroma,2.4.53-875-gf2d34529
1,pleroma,2.4.53-858-g3a1b3825-yukiho
1,pleroma,2.4.53-853-g9fbf01f7-develop
1,pleroma,2.4.53-851-g7a519b6a
1,pleroma,2.4.53-845-g8042e0eb-develop
1,pleroma,2.4.53-845-g8042e0eb
1,pleroma,2.4.53-8223-ga7f0d18a-neckbeard
1,pleroma,2.4.53-5925-g447bfcdb-shigusegubu
1,pleroma,2.4.53-2053-gac602c6f.gleasonator+soapbox
1,pleroma,2.4.53-1855-g9c48cbbc.develop+soapbox
1,pleroma,2.4.53-1835-gad014adc.develop+soapbox
1,pleroma,2.4.53-1622-gec4b8ab4+soapbox
1,pleroma,2.4.53-1577-gcce90832.develop+soapbox
1,pleroma,2.4.53-1560-g13c61e59.develop+soapbox
1,pleroma,2.4.53-1535-geca1f581.develop+soapbox
1,pleroma,2.4.53-1520-g064be8fe-froth
1,pleroma,2.4.53-0-g95f4049c6-ryona-dev
1,pleroma,2.4.53-0-g4f3a767d1.develop+soapbox
1,pleroma,2.4.53-0-g088916ef7
1,pleroma,2.4.53
1,pleroma,2.4.52-836-g3f1c31b7
1,pleroma,2.4.52-829-g50defbeb-bbs-kawa-kun-com
1,pleroma,2.4.52-823-g0b9f01c9-develop
1,pleroma,2.4.52-686-g497cd5d5-develop
1,pleroma,2.4.52-665-ga022b9d7-develop
1,pleroma,2.4.52-646-gb2ba307f-develop
1,pleroma,2.4.52-614-g0814d0e0-develop
1,pleroma,2.4.52-537-g3fb91716-develop
1,pleroma,2.4.52-486-g75f912c6-develop
1,pleroma,2.4.52-479-g4605efe2-develop
1,pleroma,2.4.52-477-g214ef7ff-develop
1,pleroma,2.4.52-477-g214ef7ff
1,pleroma,2.4.52-1751-gc6e4a123.develop+soapbox
1,pleroma,2.4.52-1735-g31d5a606.develop+soapbox
1,pleroma,2.4.52-1589-ge94b7305.develop+soapbox
1,pleroma,2.4.52-1478-g3b964ee5.develop+soapbox
1,pleroma,2.4.52-1441-g5a3949ed.develop+soapbox
1,pleroma,2.4.52-1299-g78dd3bdb.develop+soapbox
1,pleroma,2.4.52-1204-ga4877572.edits+soapbox
1,pleroma,2.4.52-0-g55e37ba80
1,pleroma,2.4.51-495-gc757c1ea-develop
1,pleroma,2.4.51-468-gd7c53da7-develop
1,pleroma,2.4.51-468-gd7c53da7
1,pleroma,2.4.51-422-gfa8e2ffa-develop
1,pleroma,2.4.51-345-g79f400a5-lgbtfreezone
1,pleroma,2.4.51-339-g753a9b3f
1,pleroma,2.4.51-2772-gb1594502-underscore-world
1,pleroma,2.4.51-1245-g5ae5072c.develop+soapbox
1,pleroma,2.4.51-1243-g225973e7.develop+soapbox
1,pleroma,2.4.51-1237-g9e66daf6-develop
1,pleroma,2.4.51-1235-g23aebb85
1,pleroma,2.4.51-120-g92a8ff59
1,pleroma,2.4.51-1182-g4bdd365b-develop
1,pleroma,2.4.51-1105-g65e8d421-develop
1,pleroma,2.4.5-1646-gd8e32646
1,pleroma,2.4.5-15-gcb33f3a4-release-2-4-5
1,pleroma,2.4.4-9-g39d01662-master-pooza
1,pleroma,2.4.4-46-g2ad64995-pleroma-ryusei-dev-v2
1,pleroma,2.4.4-1-ga869ebe2
1,pleroma,2.4.4-0-g5e147c2e6
1,pleroma,2.4.4-0-g59335bb5d-develop
1,pleroma,2.4.3-480-g06a13ed1-eientei
1,pleroma,2.4.3-0-g3fdc3f912-released
1,pleroma,2.4.3-0-g3cf514643-released
1,pleroma,2.4.1-chillout-chat-main
1,pleroma,2.4.1-1-ge3327e9c
1,pleroma,2.4.1-0-gbedcbba85-hostdon-devel
1,pleroma,2.4.1-0-g8577b583a-hostdon-latest
1,pleroma,2.4.0-521-g1a09e749
1,pleroma,2.3.50-502-g3f582136-develop
1,pleroma,2.3.50-111-gcaadde3b-develop
1,pleroma,2.3.0-0-gd62ed4201
1,pleroma,2.2.50-745-g0ad6ea20-develop
1,pleroma,2.2.50-643-g86403d32-v-develop
1,pleroma,2.2.50-622-ge4f1d8f4-develop
1,pleroma,2.2.50-565-g6bb4f4e1-develop
1,pleroma,2.2.50-438-g5a5ff508-develop
1,pleroma,2.2.50-26-g607cac19-develop
1,pleroma,2.2.2-9-g3e8b851a
1,pleroma,2.2.2-60-g3e8b851a
1,pleroma,2.2.2-5-g9b68248f-release-2-2-2
1,pleroma,2.2.0-8-g15550f7c
1,pleroma,2.1.50-854-g294628d9-develop
1,pleroma,2.1.1
1,pleroma,2.1.0
1,pleroma,2.0.6-stable
1,pleroma,2.0.50-2551-ge1c8c599-develop
1,pleroma,2.0.50-2161-g057936bf-develop
1,pleroma,2.0.5-stable
1,pleroma,2.0.1-develop
1,pleroma,2.0.0
1,pleroma,1.1.9
1,pleroma,1.1.8-5-ge372917f-release-1-1-8
1,pleroma,1.1.7-release-1-1-8
1,pleroma,1.1.50-2026-g0d24ab04-develop
1,pleroma,1.1.50
1,pleroma,1.0.4
1,pleroma,1.0.3-HEAD
1,pleroma,0.9.0
1,pixelfed,0.7.10
1,pixelfed,0.10.0
1,pelican-activitypub,0.1
1,peertube,4.3.0-nightly-2022-11-03
1,peertube,4.3.0+vtopia1
1,peertube,3.1.0-rc.1
1,peertube,2.1.0
1,peertube,2.0.0
1,peertube,1.3.1
1,peertube,1.2.1
1,peertube,1.1.0
1,p3k,0.9.0
1,owncast,20221128-webv2
1,owncast,20221001-nightly
1,owncast,20220622-nightly
1,owncast,20220607-nightly
1,notestock,1.0
1,nginx,1.20.2
1,nginx,0
1,n/a,2019.09-1323
1,moodlenet,0.9.6-dev
1,mitra,1.5.0
1,mitra,1.4.0
1,misskey,paring.4d0aaed
1,misskey,2021.12.2-nkhm
1,misskey,12.98.0
1,misskey,12.91.0+egirls.4
1,misskey,12.90.1-rei0784-509bddecc
1,misskey,12.89.2
1,misskey,12.75.0
1,misskey,12.74.1
1,misskey,12.70.0
1,misskey,12.68.0
1,misskey,12.66.0
1,misskey,12.64.2-1.2
1,misskey,12.120.0-alpha.8-p1.19
1,misskey,12.120.0-alpha.8-develop.93+gbe313b8d7
1,misskey,12.120.0-alpha.8+cs
1,misskey,12.120.0-alpha.8
1,misskey,12.120.0-alpha.7-group-add
1,misskey,12.120.0-38
1,misskey,12.119.0-xs
1,misskey,12.119.0-usuyukey-1.0.0
1,misskey,12.119.0-simkey-v11
1,misskey,12.119.0-sh.3
1,misskey,12.119.0-peach01mm
1,misskey,12.119.0-na2na-v8
1,misskey,12.119.0-na2na-v5
1,misskey,12.119.0-mewl+0
1,misskey,12.119.0-kakurega.1.1.1
1,misskey,12.119.0-hina2
1,misskey,12.119.0-frsky
1,misskey,12.119.0-CBR-2211.1
1,misskey,12.119.0-732771e
1,misskey,12.119.0+birb4
1,misskey,12.118.0-beta.4
1,misskey,12.118.0-beta.3
1,misskey,12.116.1
1,misskey,12.113.0
1,misskey,12.112.2
1,misskey,12.112.0-beta.5
1,misskey,12.111.0
1,misskey,12.110.1-maikaze-0.1.1
1,misskey,12.109.2
1,misskey,12.108.1-cafe-v1
1,misskey,12.103.1-metaskey-5.1
1,misskey,12.103.1
1,misskey,11.37.1-rei0784-6.0.0
1,misskey,11.37.1-20220930020350
1,misskey,11.37.1
1,misskey,10.103.0.3-ypf
1,misskey,10.102.595-m544-reco-ef959eef
1,misskey,10.102.595-m544-reco
1,misskey,10.102.579-m544-t-asa1
1,misskey,10.102.540-m544
1,microblogpub,Microblog.pub de607e9e3946+
1,microblogpub,2.0.0+e30e0de1
1,microblogpub,2.0.0+d96ec913
1,microblogpub,2.0.0+a4cfd650
1,microblogpub,2.0.0+a2254f26
1,microblogpub,2.0.0+90eb8674
1,microblogpub,2.0.0+5f0b8f5d
1,microblogpub,2.0.0+59dfc3d1
1,microblogpub,2.0.0+441e3d90
1,microblogpub,2.0.0+164cd9bd
1,microblogpub,2.0.0+0c1132c3
1,mastodon,4.0.2~molten
1,mastodon,4.0.2~alphatown
1,mastodon,4.0.2~B612~Kira!
1,mastodon,4.0.2slis
1,mastodon,4.0.2_ef67daisuki_club
1,mastodon,4.0.2-ht
1,mastodon,4.0.2-gh1.3
1,mastodon,4.0.2+uwu
1,mastodon,4.0.2+uri1.17
1,mastodon,4.0.2+twvariant
1,mastodon,4.0.2+trans_rights-f02cb1c-22326163749
1,mastodon,4.0.2+occm
1,mastodon,4.0.2+nzws
1,mastodon,4.0.2+magincia
1,mastodon,4.0.2+luna
1,mastodon,4.0.2+glitchfox-prod2022112701
1,mastodon,4.0.2+glitchcity
1,mastodon,4.0.2+glitch_1129_1a7aa37
1,mastodon,4.0.2+glitch_1127_6517b7b
1,mastodon,4.0.2+glitch_1125_43dbc62
1,mastodon,4.0.2+glitch_1123_43dbc62
1,mastodon,4.0.2+glitch-snoot
1,mastodon,4.0.2+glitch+rrerrNet
1,mastodon,4.0.2+glitch+rawr
1,mastodon,4.0.2+glitch+polyam
1,mastodon,4.0.2+glitch+cathode
1,mastodon,4.0.2+glitch+CiT
1,mastodon,4.0.2+foxsay
1,mastodon,4.0.2+dodam2
1,mastodon,4.0.2+cat+1.0.6
1,mastodon,4.0.2+cat+1.0.5+nya-1.1.3
1,mastodon,4.0.2+bottle
1,mastodon,4.0.2 at 08a7d97b on ruby-3.1.3
1,mastodon,4.0.2 (with modifications)
1,mastodon,4.0.1+cat+1.0.3
1,mastodon,4.0.0rc4+occmglitch
1,mastodon,4.0.0rc3+glitch_1113_81b1d32
1,mastodon,4.0.0rc3+glitch
1,mastodon,4.0.0rc2+glitch_1111_6df9d38
1,mastodon,4.0.0rc2+glitch_1108_c493c96
1,mastodon,4.0.0rc1+glitch_1103_f359b15
1,mastodon,3.5.6
1,mastodon,3.5.5-cw1
1,mastodon,3.5.5-casino
1,mastodon,3.5.5+types
1,mastodon,3.5.3~wxw
1,mastodon,3.5.3~angry
1,mastodon,3.5.3~ Female Friendly Instance
1,mastodon,3.5.3verum
1,mastodon,3.5.3-beer-1
1,mastodon,3.5.3+glitch-patched
1,mastodon,3.5.3+glitch+puwa
1,mastodon,3.5.3+cafe.a137fec
1,mastodon,3.5.2+glitch_0509_e8b8ac8
1,mastodon,3.5.1+chitter
1,mastodon,3.5.0~hello
1,mastodon,3.5.0rc3
1,mastodon,3.5.0-edef68bf9
1,mastodon,3.4.6ht
1,mastodon,3.4.6-99c7961fd
1,mastodon,3.4.6+mootech4
1,mastodon,3.4.6+ Astarte on Glitch
1,mastodon,3.4.6 06f906acac
1,mastodon,3.4.5+glitch
1,mastodon,3.4.5+cs
1,mastodon,3.4.1+glitch_1029_e0f3962
1,mastodon,3.4.0+glitch
1,mastodon,3.3.2-cybre
1,mastodon,3.3.0rc1
1,mastodon,3.3.0+glitchfox-
1,mastodon,3.3.0+glitch
1,mastodon,3.2.1-qoto
1,mastodon,3.2.0rc1
1,mastodon,3.2.0+beachcity1.20.0
1,mastodon,3.1.4+glitch
1,mastodon,3.1.0
1,lubargw2,0.0.1
1,lotide,0.8.0-pre
1,lotide,0.12.0-rc.1
1,lotide,0.12.0-pre
1,lotide,0.12.0
1,lemmy,0.16.7-rc.3
1,lemmy,0.16.7-rc.1
1,lemmy,0.16.5-136-g41d4852ef
1,lemmy,0.16.5-135-g96a2bec6
1,lemmy,0.16.5-128-gbc19d94e
1,lemmy,0.15.1
1,ktistec,0.1.0
1,kotori,0.0.2
1,hubzilla,7.9.6
1,hubzilla,7.6
1,hubzilla,7.4
1,hubzilla,7.2
1,hubzilla,4.0.3
1,hubzilla,3.8.8
1,hubzilla,3.6.1
1,hubzilla,3.2.1
1,honk,0.9.8-powered by idols
1,hometown,1.0.7+3.5.4
1,hometown,1.0.7+3.5.3
1,guac.live,1.9.4
